transaction_id,amount,merchant_category,hour_of_day,account_age_days,distance_from_home_km,is_fraud
1,61.15,Utilities,21,1263,9.4,0
2,38.86,Dining,17,1217,4.3,0
3,90.7,Online Retail,17,2621,22.3,0
4,67.49,Entertainment,4,599,10.7,0
5,29.42,ATM Withdrawal,2,2491,3.0,0
6,99.1,Electronics,13,1714,7.4,0
7,222.12,Grocery,18,3001,3.5,0
8,78.07,Jewelry,8,807,9.0,0
9,109.6,Grocery,0,1135,9.9,0
10,132.66,Dining,5,2720,2.0,0
11,22.81,Fuel,17,178,2.6,0
12,29.18,Electronics,4,2364,1.5,0
13,130.36,ATM Withdrawal,15,896,9.2,0
14,33.6,Dining,10,3168,7.2,0
15,37.92,ATM Withdrawal,17,1521,2.2,0
16,48.91,Jewelry,12,1626,20.4,0
17,139.8,Dining,21,194,1.6,0
18,227.96,Grocery,12,416,4.6,0
19,131.45,ATM Withdrawal,12,2686,7.0,0
20,24.89,Dining,10,764,1.8,0
21,39.42,Online Retail,12,3049,13.2,0
22,53.43,Fuel,8,1756,5.6,0
23,17.86,Dining,22,1824,13.1,0
24,163.54,Electronics,0,1570,8.3,0
25,43.8,ATM Withdrawal,5,1891,14.4,0
26,114.66,Online Retail,1,741,8.7,0
27,30.41,Online Retail,11,2244,9.3,0
28,63.03,Online Retail,13,3019,27.6,0
29,163.92,Dining,17,2159,0.6,0
30,165.89,Entertainment,11,1330,25.7,0
31,98.79,Grocery,18,1853,0.1,0
32,20.19,ATM Withdrawal,23,1824,51.8,0
33,42.05,Entertainment,22,3369,34.5,0
34,8.63,Entertainment,15,1485,7.7,0
35,138.15,Fuel,19,1032,5.1,0
36,57.86,Utilities,13,1357,6.5,0
37,21.49,Utilities,18,693,13.6,0
38,104.95,ATM Withdrawal,16,2638,11.1,0
39,42.51,Dining,9,112,41.1,0
40,36.55,Electronics,3,2932,10.4,0
41,132.29,Grocery,15,3620,58.2,0
42,755.34,Entertainment,23,3189,20.8,0
43,180.71,Entertainment,0,2289,5.4,0
44,59.8,Jewelry,1,2363,58.4,0
45,26.8,Travel,12,3534,17.2,0
46,46.1,Travel,9,376,5.5,0
47,119.4,ATM Withdrawal,17,504,5.4,0
48,28.9,Entertainment,0,1052,16.0,0
49,20.76,Entertainment,5,590,1.7,0
50,256.2,Electronics,3,3230,10.1,0
51,82.3,Grocery,12,2442,36.9,0
52,152.55,Grocery,8,932,29.5,0
53,42.45,Grocery,15,2094,8.6,0
54,92.86,Travel,5,1863,3.3,0
55,18.88,Grocery,1,3004,12.2,0
56,36.78,Entertainment,1,1026,42.1,0
57,74.47,Entertainment,21,2730,13.5,0
58,131.12,Utilities,12,1704,0.0,0
59,34.02,Dining,9,697,13.6,0
60,175.74,Entertainment,17,1829,2.3,0
61,33.89,Jewelry,3,940,0.9,0
62,48.61,Dining,19,2415,1.9,0
63,51.07,Grocery,13,353,2.8,0
64,153.39,Travel,4,2771,0.3,0
65,45.59,Entertainment,11,1388,44.2,0
66,5.46,Entertainment,6,2596,6.1,0
67,35.84,Electronics,9,3291,0.6,0
68,129.08,Jewelry,0,2322,32.6,0
69,132.24,Grocery,20,2485,5.1,0
70,91.58,Dining,6,647,34.4,0
71,75.52,Jewelry,2,2412,4.3,0
72,88.57,Dining,11,1376,23.5,0
73,806.03,Dining,4,314,178.3,1
74,85.62,Jewelry,23,3289,9.3,0
75,76.07,Grocery,19,3528,2.2,0
76,290.88,Fuel,1,3103,27.4,0
77,96.96,Online Retail,21,1053,5.0,0
78,66.35,Jewelry,4,2750,6.6,0
79,27.72,Jewelry,6,1775,0.1,0
80,138.38,Jewelry,17,2631,5.6,0
81,97.28,Electronics,4,2776,0.5,0
82,52.79,Online Retail,20,1280,3.7,0
83,65.96,Utilities,2,3033,7.4,0
84,267.35,Jewelry,23,964,4.7,0
85,24.19,Jewelry,22,1260,7.5,0
86,32.31,Electronics,13,414,35.6,0
87,18.45,Jewelry,21,119,79.2,0
88,91.63,Utilities,4,574,8.8,0
89,408.76,Travel,4,838,2.2,0
90,72.81,Electronics,14,2466,61.5,0
91,84.62,Online Retail,12,246,26.3,0
92,37.97,Electronics,10,2165,0.1,0
93,32.26,Grocery,21,765,27.9,0
94,56.76,ATM Withdrawal,16,3174,11.2,0
95,32.25,Dining,11,2678,9.1,0
96,87.45,Utilities,22,3522,3.4,0
97,53.47,ATM Withdrawal,1,2167,32.2,0
98,12.1,Travel,18,2950,35.3,0
99,43.32,Travel,20,729,7.2,0
100,27.97,Online Retail,13,1481,33.5,0
101,147.24,Online Retail,7,2398,3.1,0
102,18.34,Entertainment,8,143,42.4,0
103,13.06,ATM Withdrawal,16,2027,7.2,0
104,18.68,Online Retail,11,2875,8.4,0
105,175.86,Entertainment,17,2489,26.8,0
106,30.85,Entertainment,4,1912,38.3,0
107,70.99,Jewelry,18,2577,1.3,0
108,173.11,Fuel,5,2452,35.5,0
109,16.36,Dining,18,1945,19.2,0
110,258.43,Grocery,18,3206,1.2,0
111,165.05,Online Retail,4,1446,2.3,0
112,57.22,Entertainment,14,3261,1.5,0
113,43.7,Dining,10,191,32.0,0
114,52.82,Jewelry,9,3041,1.9,0
115,14.1,Travel,11,303,8.3,0
116,21.31,Fuel,6,69,17.5,0
117,43.84,Jewelry,6,3415,20.9,0
118,125.24,Utilities,23,2893,30.9,0
119,26.48,Utilities,15,685,63.6,0
120,18.72,Jewelry,1,2403,6.2,0
121,37.03,Dining,15,1234,0.1,0
122,174.76,Online Retail,20,2152,48.6,0
